country,year,eur_million
SK,2020,14192.21951997011
AT,2021,19537.82782362455
BE,2021,54993.03973305655
BG,2021,14835.315124007673
CY,2021,2974.6081312786255
CZ,2021,35078.10938294591
DE,2021,138620.05648787692
DK,2021,15178.84470009562
EE,2021,6460.031189090421
EL,2021,44933.243071075
ES,2021,168488.41265454725
FI,2021,13222.020695097035
FR,2021,147695.65079735816
HR,2021,14851.754628096489
HU,2021,34046.74414797221
IE,2021,19197.17529357592
IT,2021,152150.7647097723
LT,2021,12879.42076293825
LU,2021,11083.41253068451
LV,2021,7684.1501115180745
MT,2021,1682.8173257847657
NL,2021,31031.658648375203
PL,2021,107380.31063984793
PT,2021,41313.408446296766
RO,2021,44073.049997953036
SE,2021,19708.240041215508
SI,2021,6971.031752823437
SK,2021,19401.544061175082
AT,2022,18919.081260176936
BE,2022,61776.764962488756
BG,2022,18210.538986477644
CY,2022,3159.594975110931
CZ,2022,32844.25716259071
DE,2022,139733.88850594257
DK,2022,16413.08147112426
EE,2022,7316.110294618302
EL,2022,40897.712095651266
ES,2022,142199.34765397484
FI,2022,14829.4956663904
FR,2022,157021.2973378264
HR,2022,15858.074203711876
HU,2022,35651.90110181199
IE,2022,18032.936503599834
IT,2022,176440.69224779203
LT,2022,13398.869502834445
LU,2022,12615.532132584105
LV,2022,8231.400879660452
MT,2022,1643.7545735029694
NL,2022,35048.72530977115
PL,2022,108703.0971432099
PT,2022,34252.025738906756
RO,2022,54029.62228693387
SE,2022,19188.50636067708
SI,2022,6148.463844250963
SK,2022,20060.947539839675
AT,2023,19828.615381030002
BE,2023,61315.40034062004
BG,2023,16088.08404846
CY,2023,2542.13993578
CZ,2023,37586.16646353
DE,2023,148781.4175445401
DK,2023,15430.18084731
EE,2023,7323.81889445
EL,2023,43562.25555441
ES,2023,113489.86041222005
FI,2023,12202.61359826
FR,2023,166355.20303395006
HR,2023,20052.43451234
HU,2023,37203.423480850004
IE,2023,17868.788840780002
IT,2023,149416.33079053005
LT,2023,14178.68998127
LU,2023,11047.199691360009
LV,2023,8600.71286702
MT,2023,1739.85349073
NL,2023,32015.082584100004
PL,2023,87310.52026545
PT,2023,39159.0400522
RO,2023,56721.197078519996
SE,2023,17897.97820061
SI,2023,7174.37112163
SK,2023,24465.89808799
